"","x"
"1",0.102676026140899
"2",0.0536970358523317
"3",0.0436135485206009
"4",0.0395606989818929
"5",0.0364696820246602
"6",0.0340701724704571
"7",0.0333215542013098
"8",0.0327182450496702
"9",0.0312913395024287
"10",0.0306320199272027
"11",0.0299792128845677
"12",0.0291984782676124
"13",0.0285898453865059
"14",0.0282516340279368
"15",0.0280912101990574
"16",0.0279509276181462
"17",0.0276712580622685
"18",0.0268849561411142
"19",0.0261774748068526
"20",0.0259489173615326
"21",0.0258108563636967
"22",0.0254908304917079
"23",0.0251088460080362
"24",0.024278160522428
"25",0.0240268026076105
"26",0.023868760158945
"27",0.0233954536285976
"28",0.023099496435444
"29",0.0226451123315752
"30",0.0223787410125952
"31",0.0220068393721961
"32",0.02109586364012
"33",1.90720483900287e-16
